gene logFC FDR up_in_female V7
ENSRNOT00000076159.1 6.50724730446438 0.00449017628913402 FALSE Rttn
ENSRNOT00000076538.1 -4.7315653235476 2.122471941469e-74 TRUE LOC680227
ENSRNOT00000076618.2 -1.94058978496465 0.00552235603386299 TRUE Slfn13
ENSRNOT00000076699.2 -5.51867147543922 0.039983891875279 TRUE Yipf6
ENSRNOT00000076710.2 -2.02131650354739 7.32654331506432e-06 TRUE Mef2c
ENSRNOT00000076784.1 4.2361532792326 0.0359350300542171 FALSE Rn60_6_0863.2
ENSRNOT00000076895.1 -6.64541732049713 0.00290284680856034 TRUE LOC100912375
ENSRNOT00000077175.1 1.18294099447702 0.0329360740841495 FALSE Asic1
ENSRNOT00000077306.1 1.21887560747517 1.15278830177211e-39 FALSE AABR07015057.1
ENSRNOT00000077325.1 -0.843600539307729 0.037378001060607 TRUE Setdb1
ENSRNOT00000077579.1 6.84306252621814 0.00215843558103028 FALSE Acly
ENSRNOT00000077606.1 -0.564797319406081 0.0297144941490381 TRUE Aqp4
ENSRNOT00000078034.1 2.56107522872204 3.84564071760052e-07 FALSE Ahctf1
ENSRNOT00000078210.1 1.57169003262182 7.93123515136055e-06 FALSE Iqsec2
ENSRNOT00000078317.1 -0.615125758173966 0.000238167646435025 TRUE Arpc2
ENSRNOT00000078402.1 -5.61671442948821 0.0329360740841495 TRUE Pcp4l1
ENSRNOT00000078583.1 7.06137747406667 0.00125503257328609 FALSE Nrcam
ENSRNOT00000078616.1 6.78172276213661 0.00259622353140953 FALSE Caprin1
ENSRNOT00000078928.1 -6.19601703776353 0.00952859434188051 TRUE Ppara
ENSRNOT00000079005.1 1.0058940616445 2.69485570689136e-25 FALSE AABR07015057.1
ENSRNOT00000079011.1 6.79357384954531 0.00250690069247198 FALSE Atf1
ENSRNOT00000079225.1 -7.04353107473079 0.000932054134728413 TRUE Akap3
ENSRNOT00000079332.1 8.55622573060171 8.08709824794002e-08 FALSE Irf4
ENSRNOT00000079417.1 -6.06880769841862 0.0126541293330569 TRUE Elf1
ENSRNOT00000079515.1 -0.520073392765251 0.0498837648694491 TRUE Ralgapb
ENSRNOT00000079598.1 5.01730260884537 0.00332987010540278 FALSE Nxpe3
ENSRNOT00000079688.1 -5.78954338455135 0.0235468636031995 TRUE Epb41l2
ENSRNOT00000079707.1 1.15897740855352 0.0117865740579451 FALSE Nucks1
ENSRNOT00000079916.1 1.15368633825177 2.6656804683004e-12 FALSE AABR07015080.2
ENSRNOT00000080331.1 1.17976683579803 0.00069268370198327 FALSE Iqsec2
ENSRNOT00000080623.1 -2.46664528098767 0.0142705638062067 TRUE Cdc42bpb
ENSRNOT00000080840.1 0.894880898071926 0.0368802945454254 FALSE Arhgef1
ENSRNOT00000081014.1 -6.84208087399349 0.00176261150505762 TRUE Nars
ENSRNOT00000081017.1 -0.772043801465495 0.0439860029615204 TRUE Esr1
ENSRNOT00000081021.1 -2.05030055323707 8.93252436618462e-09 TRUE Plec
ENSRNOT00000081389.1 -5.4073879037955 0.048276574910609 TRUE AC141028.3
ENSRNOT00000081447.1 6.65972312134473 0.00136252377721987 FALSE P2rx2
ENSRNOT00000081588.1 6.94311349151246 0.0017788215802002 FALSE Rxrb
ENSRNOT00000081986.1 -5.55976657858097 0.0368802945454254 TRUE AABR07037729.1
ENSRNOT00000082030.1 -0.928646106307447 0.0116757532508218 TRUE Taf15
ENSRNOT00000082036.1 7.82672319766487 2.40133502581277e-05 FALSE Pbx3
ENSRNOT00000082196.1 7.82784685576189 2.40133502581277e-05 FALSE Nid2
ENSRNOT00000082344.1 5.72521296147178 0.0337485557225676 FALSE AABR07024120.1
